cours,date_opr,date_valeur,Reg_Status,Reg_Montant,Reg_Devise_Cours,Piece,Tiers_RS,Nature,Type
1.0,2025-05-09 00:00:00,2025-05-09 00:00:00,3,429.97,3.3843,RF250111,ALUMINCO,Réglement Fournisseur Virement Etranger,FOURNISSEUR HORS GROUPE
1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,3,13855.1,3.3118,RF250020,ELLERS,Réglement Fournisseur Virement Etranger,FOURNISSEUR HORS GROUPE
3.371,2025-05-12 00:00:00,2025-05-12 00:00:00,3,1633.11,3.3118,RF250021,ELLERS,Réglement Fournisseur Virement Etranger,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,51478.42,3.3909,RF250103,EXLABESA,Réglement Fournisseur Virement Etranger,FOURNISSEUR HORS GROUPE
1.0,2025-05-27 00:00:00,2025-05-27 00:00:00,3,100571.84,3.3495,RPLC250002,HYDRO FRANCE,Paiement de Lettre de Crédit,FOURNISSEUR HORS GROUPE
3.371,2025-05-09 00:00:00,2025-05-09 00:00:00,3,35113.61,3.3213,RF250047,KAYE ALUMINIUM TAGER ,Réglement Fournisseur Virement Etranger,FOURNISSEUR HORS GROUPE
3.371,2025-05-12 00:00:00,2025-05-12 00:00:00,3,916.5,3.3718,RF250093,MONTICELLI,Réglement Fournisseur Virement Etranger,FOURNISSEUR HORS GROUPE
3.371,2025-05-09 00:00:00,2025-05-09 00:00:00,3,10348.2,3.3794,RF250115,PULVERIT,Réglement Fournisseur Virement Etranger,FOURNISSEUR HORS GROUPE
3.371,2025-05-09 00:00:00,2025-05-09 00:00:00,3,5701.0,3.3794,RF250116,SKY CLIMBER,Réglement Fournisseur Virement Etranger,FOURNISSEUR HORS GROUPE
1.0,2025-05-02 00:00:00,2025-05-02 00:00:00,3,46011.94,3.4077,RF250106,SCHUCO INTERNATIONAL KG,Réglement Fournisseur Virement Etranger,FOURNISSEUR HORS GROUPE
1.0,2025-05-10 00:00:00,2025-05-10 00:00:00,3,89273.15,3.0763,RF250081,SCHUCO EGYPT LLC,Réglement Fournisseur Virement Etranger,FOURNISSEUR HORS GROUPE
1.0,2025-05-28 00:00:00,2025-05-28 00:00:00,17,2793.901,1.0,RFP250012,BANQUE ZITOUNA,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-28 00:00:00,2025-05-28 00:00:00,17,6501.557,1.0,RFP250134,BANQUE ZITOUNA,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
1.0,2025-05-28 00:00:00,2025-05-28 00:00:00,17,1766.137,1.0,RFP250255,BANQUE ZITOUNA,Réglement Fournisseur Prelevement,FOURNISSEUR HORS GROUPE
